zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
盖来试验,Gelle test,Guy's going to test it.,Cover test,Go to test.,0.59396088,0.789542486,0.707114262
镫骨活动试验,Gelle test,Test of skeletal activity,Spinal Activity Test,Testing of bone activity.,0.65328886,0.696489418,0.623202595
贝佐德三征,Bezold triad,The Bezode Triad.,Battle of Bessaud,The Three Beats.,0.643286109,0.119360923,0.103090262
自发性眼震,spontaneous nystagmus,Self-inflicted eye tremors.,Spontaneous eye-shock,spontaneous eye shock.,0.335089245,0.521367926,0.527217276
郝尔派克冷热试验,Hallpike cold-hot test,Hal Parker's cold heat test.,Haul Pike Cold Heat Test,Holpik Cold Heat Test,0.791466467,0.770262442,0.86014062
耳石功能检查法,otolith function test,Earstone functional inspection method,Functional examination of earstone,Ear Stone Functional Inspection,0.69847779,0.62687048,0.548968485
鼓室反射,tympanic cavity reflex,The drum room reflects.,Drum chamber reflection,The Drop Room Reflections,0.200874764,0.433423631,0.20344367
伸臂试验,arm extension test,Arms stretching test.,Extend arm test,Testing the arm.,0.774145457,0.929617149,0.840119697
前庭功能试验,vestibular function examination,Trial of front-court functionality,Functional test in front court,Examination of front court function.,0.360439509,0.521407423,0.613504975
复原试验,recovery test,Recovery test,Restoration test,Recovery testing,1.000000095,0.800019658,0.94748735
垂线试验,vertical line test,Tilt Test,Triangular test,The line test.,0.717224804,0.73075565,0.819290785
耳镜检查法,otoscopy,Eyeglasses.,Ocular examination,Auditory of ears.,0,0,0
普通耳镜检查法,common otoscopy,Normal earscopes.,Normal Eyeglass Inspection,Ordinary eyelids check.,0.501008779,0.385602566,0.51017994
鼓气耳镜检查法,Siegle otoscopy,Pulse-earscopes.,Cochlear gas microscope examination,Inspection of the shoulder.,0,0,0
电耳镜检查法,electro otoscopy,Electro-earscopes.,Electroocular examination,Electrical Glasses Inspection,0.676862749,0.072107356,0.269415832
巴腊尼试验,Barany test,Barani experiment.,Barani experiment,The Barranny Experiment,0.498648933,0.485218246,0.508323857
温度刺激试验,temperature stimulation test,Temperature irritation test,Temperature stimulation test,Temperature stimulation testing.,0.86924542,0.999999975,0.948328756
听力计检查法,audiometer test,Hearing meter check.,Hearing Measurement,Auditor inspection.,0.37324461,0.454774281,0.319348502
客观听力检查法,objective audiometry,Objective Hearing Checking,Objective hearing test,Objective hearing examination.,0.701198038,0.722284695,0.714842084
听觉训练,auditory training,Hearing training,Hearing training,Hearing training.,0.75525233,0.75525233,0.682065147
听力检测法,audiometry,Hearing detection,Hearing detection,The hearing test.,0,0,0
听力零级,zero audition,Hearing zero.,Hearing level zero,0 levels of hearing.,0.588944664,0.622114177,0.440465517
耵聍,cerumen,Xiao Xiao Xiao.,Snake,,nan,nan,nan
耵聍栓塞,ceruminal impaction,Cricket plugs.,Bottle throttle,Thumbnail,-0.02460749,0.054399765,-0.006209443
鲁代征,Leudet sign,Lu Dynasty.,Ruday Expedition,The Rhodes,0.2077514,0.069385598,0.245794907
叩斯顿综合征,Costen syndrome,Vulcanton syndrome.,Bateston syndrome,The Boston Syndrome.,0.869493043,1.000000024,0.688755679
弗洛定律,Flouren law,The Law of Flo.,Froe's law,The Freedom Law.,0.702130615,0.867512171,0.794412813
戈拉顿奈佝综合征,Gradenigo syndrome,Goraton nayrin syndrome.,Golatton rickets syndrome,The Goratonian Syndrome.,0.869492975,0.851306321,0.771442268
戈伦裴德反应,Grunfelder reaction,Gorenpede reacts.,Golenpede reaction,The Golan Ped reaction.,0.596568922,1.000000051,0.601734094
囟门反射,fontanel reflex,Quillman reflection.,Reflection of the bow,Reflection of the door.,0.228807149,0.272856267,0.216243507
耳塞,earplug,Earplugs.,Lesser,the ear.,0.49196208,-0.03841877,0.156067191
耳痛,otalgia,Your ear hurts.,Ear pain,the ear pain.,0,0,0
麦齐路松-外斯征,Michelson-Weiss sign,Macy Luthor. Expedition.,Macy-Lusson–Force expedition,Maci-Lucson – The Expedition,0.147651422,0.298121735,0.270583739
耳聋,deafness,Deaf.,Deafness,the blind ear.,0.437899382,0.99999994,0.326935591
重听,hard of hearing,Rehearsal,Rehearse,Hearing again.,0.23650103,0.176321909,0.776717735
耳鸣,tinnitus,Ears.,Tinnitus,the ear.,0.273873866,0.999999965,0.281291316
耳罩,ear muff,Headset.,Headphones,the ear mask.,0.425802857,0.463378473,0.596709963
传导性耳聋,conduction deafness,Deaf conductive.,Transductive deafness,Communication of the Orphan.,0.549229077,0.813405075,0.219535824
感音神经性耳聋,perceptive nervous deafness,Sensible neurological deafness.,Sensitive neural deafness,Sensitive nervous ears.,0.804902457,0.798511315,0.68411262
爆震性耳聋,explosive deafness,Blast deaf.,Explosive deafness,Explosive ears.,0.505551725,1.000000066,0.603638865
噪声性耳聋,noise deafness,Noise deaf.,Noise deafness,Noise of hearing.,0.748829596,0.999999987,0.662319298
慢性声创伤,chronic sound wound,Chronic acoustic trauma,Chronic acoustic trauma,Chronic sound trauma,0.831510758,0.831510758,0.904471086
突发性耳聋,sudden deafness,Blast deaf.,Sudden deafness,Emergency Orphanage,0.496723802,0.999999985,0.327912365
特发性耳聋,idiopathic deafness,He's deaf. He's deaf.,Specialized deafness,Specific early.,0.178274263,0.69605011,0.150670095
客观性耳鸣,objective tinnitus,The sound of objectivity.,Objective otitis,Objective ear.,0.433688427,0.688624268,0.631129751
振动性耳鸣,vibratory tinnitus,Vibration ears.,Vibratory otitis,vibrational ear.,0.453548269,0.747765385,0.50832312
外在性耳鸣,externalism tinnitus,Out-of-the-box sound.,External auditory ringing,External Sexual Ear.,-0.166989176,0.354975504,0.160092971
混合性耳聋,mixed deafness,Mixed deafness,Mixed deafness,mixed ears.,1.000000017,1.000000017,0.602323606
老年聋,presbycusis,Deaf old-age,Deafness in old age,The old blind.,0,0,0
耳聋定位诊断,deafness level diagnosis,Diagnosis of deafness,Deafness diagnosis,Oral diagnosis.,0.914441544,0.914718158,0.672388987
听力减退的分级,grading of hearing impairment,The grade of hearing loss.,Grades of hearing loss,Reduction of hearing.,0.768305883,0.823181878,0.761923569
听力残疾分级,grading of auditus deformity,Classification of hearing disabilities,Levels of hearing impairment,Classification of Hearing Disability,0.557663406,0.57647335,0.570081658
听觉残疾分级,grading of auditory deformity,Classification of hearing impairment,Classification of hearing impairment,Classification of Hearing Disabilities,0.692262913,0.692262913,0.6425796
梅尼埃病,Meniere disease,Menie's disease.,Menie disease,Menial disease.,0.522015043,0.766449631,0.534780388
声谱仪检查,tonspectrograph examination,Sound spectrometer check,Acoustic spectrometer examination,Inspection of Speaker,0.294878356,0.618193461,0.469573537
声图仪检查,sonograph examination,Acoustic device check.,Acoustic imaging,Inspection of Sound,0.339475529,0.337269129,0.470231208
外耳鼓膜徒手检查法,manoeuvre method,"External eardrums, hand-to-hand tests.",External Cochlear Film Hand Testing Method,External ear screening.,0.343421659,0.586514816,0.341415272
音叉试验,tuning fork test,Fork test,Acoustic fork test,The sound test.,0.902258442,0.85000977,0.628079799
任内试验,Rinne test,End-of-the-life test.,In-house testing,Internal testing.,0.101946192,0.210009204,0.349782017
韦伯试验,Weber test,Weber Test,Webber test,Web test,0.999999986,0.805459767,0.570448561
耳语试验,whisper test,Whispering Tests,Listening test,Testing the ear.,0.827303095,0.740473448,0.654943394
话语试验,conversational voice test,Word Test,Speech test,Word Testing,0.679546936,0.753756157,0.643439049
表试验,watch test,Table Test,Table test,Table of testing.,0.687262996,0.687262996,0.637042353
纯音听阈测试,sound hearing threshold test,Pure Hearing Threshold Test,Pure Audio Threshold Test,Listening to the test.,0.914122942,0.844786863,0.775615606
复响测试,diphonia test,Resuscitation Test,Resonance testing,The reaction test.,0.713861436,0.707922877,0.740957187
双耳响度平衡试验法,binaural loudness balance test,Bi-ear balance test,Equilibrium Testing Methods for Double-Head Resonance,Balance Test of Two Ears,0.574577084,0.553219791,0.616082289
短增量敏感指数试验,short increment sensitivity index test,Short-increment sensitivity index test,Test of short increase sensitive index,Short growth sensitive index testing,0.965384021,0.894921938,0.861403721
听觉疲劳及病理性适应测试,auditory fatigue and pathologic adaptation test,Hearing fatigue and rational adaptation tests,Listening fatigue and pathological adaptation test,Hearing fatigue and pathological adaptation tests,0.855134792,0.911891003,0.923064654
音衰减试验,tone attenuation test,Sound Decompression Test,Sound attenuation test,Sound reduction testing.,0.693578223,0.899297327,0.705595961
语言测听法,speech audiometry,Language Hearing Method,Language testing,Language Testing,0.603502484,0.46190204,0.46190204
声阻抗-导纳测试法,acoustic impedance admittance measurement,Sound Retardation-Consumption Test,Acoustic Resistance-Conductor Testing,Sound resistance - Ninear test method,0.50143361,0.652531789,0.566986049
电反应测听法,electric respond audiometry,Electro-reactive listening.,Electro-reaction measurement,Electrical reaction hearing.,0.513812419,0.480865512,0.699928005
耳蜗电图描记法,electrocochleography,Ear snail graphics.,Electrographic depiction of the ear snail,Electrical Graphics of the Ear,0,0,0
听觉脑干反应测听,auditory brainstem response audiometry,The hearing brain stem reacts to the hearing.,Listening Brain Reaction Measurement,Hearing brain reaction.,0.521693115,0.610904981,0.593235537
闭目直立检查法,Romberg test,Close-Attitude Checking Act,Close-eye direct examination,Closed eye inspection.,0.082607561,0.160167253,0.201210329
书写试验,writing test,Writing Test,Writing test,Writing Experiment,1.00000008,1.00000008,0.799497621
微量冰水试验,microfrozen water test,Micro-ice water test,Microscopic ice water tests,Small Ice Water Testing,0.835407273,0.83800952,0.852365606
旋转试验,rotation test,Rotation Test,Rotation test,The spin test.,0.999999979,0.999999979,0.710225199
瘘孔试验,fistula test,Fistula test,Fistula perforation test,The test.,0.999999981,0.91122662,0.519714376
鼓室滴药试验,tympanic cavity dropping drug test,Drilling test in the drum room.,Drum Chamber Drip Test,Drum Drop Medicine Test,0.560338776,0.64815869,0.689478629
吞咽试验,deglutitive test,Swallow Test,Anaesthesia test,Drinking testing.,0.768709491,0.706473324,0.666187101
捏鼻鼓气法,Valsalva maneuver,Sniffing.,Nose drumming,The Nose Drum Law.,0.13143199,0.23039318,0.090529539
波氏球吹张法,Politzer bag inflation,The Boeing Blower.,Pulse ball blowing,The bowling ball.,0.397838662,0.408283902,0.39838249
导管吹张法,catheter inflation,It's a pipe blow job.,Pipe blowing,Guidance of the Law.,0.294831889,0.298691682,0.237655208
正-负压平衡试验,positive and negative pressure balancing test,Positive-negative balance test,Positive-negative equilibrium test,Pressure Balance Test,0.909693209,0.880284754,0.885485679
荧光素试验,fluorescein test,Fluorescent Test,Fluorescence tests,Fluorescent testing.,0.715560704,0.758573973,0.58488509
甘油试验,glycerin test,Glycerine test,Sugar test,The oil test.,0.931832846,0.721264011,0.607810565
病灶阻消试验,focus therapeutic test,Disease retardation test.,Pathogenic inhibition test,The disease stops the test.,0.681209186,0.636895332,0.692792872
冷热试验,cold and caloric test,Cold heat test.,Cooling and heating tests,Cold heat testing.,0.832884928,0.757711496,0.817063685
跳跃试验,skipping test,Jumping Tests,Jump test,The jump test.,0.81570736,0.802634342,0.713797668
亨尼博特征,Hennebert sign,Hennibo Characteristics,Henrybo characteristics,characteristics of Hannibal.,0.147576224,0.147576224,0.26666347
图利奥反应,Tullio reaction,Tulio's reaction.,Tulio reaction,The Turi reaction.,0.605169896,0.552393093,0.659535893
良性发作性位置性眩晕病,benign paroxysmal positional vertigo,"Good sex, spot stunosis.",Positive epileptic positional dizziness,A good position of infection.,0.095852934,0.794435871,0.277544515
鼻腔,nasal cavity,Nostrils.,Nasal cavity,The nose.,0.498092803,0.999999947,0.449665015
鼻前庭,nasal vestibule,In front of the nose.,Nasal front,The Nose Court.,0.314123895,0.782555355,0.326228951
鼻旁窦,sinus paranasales,Nostrils.,Nasal sinus,The nose.,0.392197081,0.927864676,0.367929132
副鼻窦,accessory nasal sinuses,A snail.,Subnasal sinus,The Nose,0.226555767,0.785614266,0.536582895
阵发性喷嚏,paroxysmal sneezing,Sneeze in action.,Frequent sneezing,The scratch.,0.269398367,0.746765376,0.015804228
鼻赘,rhinophyma,Nosy.,Nasal obstruction,The nose.,0,0,0
鞍鼻,saddle nose,Saddle nose.,Kuranao,The Nose,0.933205356,0,0.745065754
塌鼻,collapse nose,Fold nose.,Falling nose,crashed nose,0.701747219,0.8271156,0.746875707
歪鼻,wry nose,Rusty.,Distorted nose,distorted nose.,0.370220449,0.713893218,0.684741005
钮扣鼻,button nose,Button nose.,Button nose,Button on the nose.,0.932340549,1.000000056,0.831429009
驼峰鼻,hump nose,Camel Peak nose.,Humpback nose,The top nose.,0.731724597,0.744365865,0.646441646
管形鼻,tubiform nose,Pipe nose.,Tube-shaped nose,Type of nose.,0.775319458,0.739994781,0.690838833
鹰嘴鼻,aquiline nose,Eagle's nose.,Eagle's nose,The Eagle mouth.,0.486175489,0.554338007,0.336652811
蛙状鼻,frog-shaped nose,Frog nose.,Frog-like nose,The frog's nose,0.850202041,0.913148892,0.788664771
开放性鼻音,"open rhinolalia,rhinolalia aperta",Open Nostrils,Open nose,The open nose sound.,0.458451325,0.466482186,0.393279461
闭塞性鼻音,rhinolalia clausa,Shut-up nasal sound.,Closed nose,The hidden sound.,0,0,0
鼻后孔闭锁,atresia of posterior naris,The back of the nose is locked.,Rear nose opening,The neck closed.,0.332092543,0.348073166,0.315936245
鼻前孔狭窄,stenosis of anterior naris,Neptune nostrils are narrow.,Nasal opening narrowed,The front mouth is narrow.,0.37094236,0.54759958,0.366721327
鼻翼塌陷症,collapse of nostrils,Nosy wing collapse.,Nasal collapse,nasal wings crash.,0.593212851,0.730221015,0.615688254
外鼻局部肿痛,external nose topalgia,It's a local swelling of the nose.,Local swelling of the outer nose,Local burning pain.,0.646780137,0.729620166,0.533271151
外鼻部皮肤深溃疡,external nose skin deep part ulcer,A deep ulcer in the skin of the nose.,Deep ulcers in the outer nose,The outer nose skin is deep.,0.876046057,0.899467691,0.890202868
外鼻部结节状隆起,external nose nodular projection,♪ Out of the nose ♪ ♪ Up ♪ Up ♪ ♪ Up ♪ Up ♪ Up ♪ Up ♪ Up ♪ up ♪ Up ♪,Outer nose conjunctivitis,The outer nose climbs.,0.13904966,0.679569441,0.573300849
先天性皮样囊肿及瘘管,congenital dermoid cyst and fistula,Congenital cyst swelling and fistula,Congenital epithelial cysts and fistula,Pre-Natural Skin Cushion and Cushion,0.928276665,0.913002893,0.252405695
面部局限性隆起变形,circumscribed projection of face,Facial limitations rise to deformity.,Surface constraint elevation deformation,The limits of the face are transformed.,0.629343518,0.575428868,0.709958476
鼻根部膨隆肿块,bulge lump of root of nose,The swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen swollen,Nasal root inflammatory mass,Nose roots flourish.,0.575154104,0.646426384,0.668763983
鼻前庭炎,nasal vestibulitis,Nostril inflammation.,Nasal prefrontalitis,Injection in front of the nose.,0.552528455,0.792717081,0.141309203
苹果酱现象,apple jelly phenomenon,Apple sauce phenomenon,Apple sauce phenomenon,The apple sauce phenomenon,0.865397662,0.865397662,0.842848856
鼻前庭隆起,nasal vestibule projection,The nose rises in front of the court.,Nasal Front Rise,The front courtyard raises.,0.353328435,0.67670303,0.352577687
外鼻缺损,defect of external nose,Nostril loss.,Outer nose defect,Absence of the nose.,0.612865528,0.852042071,0.790021401
鼻翼萎陷,nasal wing collapse,The snort's wings are falling.,Nasal wing atrophy,The nose wings shrink.,0.547375238,0.836275071,0.620061465
鼻裂畸形,rhinoschisis,Nostril fractures.,Nasal fracture,deformity of the nose.,0,0,0
双鼻畸形,double nose,Nostril deformity.,Binocular deformity,Deformity of the nose.,0.504550639,0.234695713,0.647157157
鼻小柱过宽,nose columella broaden,It's too wide.,Nasal columns are too wide,The nose is too wide.,0.233555834,0.43028564,0.42036087
外鼻脓疱,external nose pustule,Nostrils.,Outer nose abscess,The outside nose.,0.53538587,0.778099125,0.557599323
鼻塞,rhinocleisis,Nostrils.,Nasal cavity,The nose.,0,0,0
鼻石,rhinolith,Nostrils.,Nasal stone,The nose stone.,0,0,0
鼻腔牙,nasal tooth,Nostrils.,Nasal cavity teeth,The nose tooth.,0.486503623,0.918512735,0.73121697
鼻衄,epistaxis,Nostrils.,Nasal squirrel,The Nose,0.140090638,0.303995627,0.093298578
鼻出血,rhinorrhagia,He had a nosebleed.,Nasal bleeding,Nose bleeding,0,0,0
黎氏区,little area,Ler County.,Li District,District of Lithuania,0.422212005,0.400323701,0.447571766
鼻溢液,rhinorrhea,Nostrils.,Nasal overflow,The nose fluid.,0,0,0
脑脊液鼻漏,cerebrospinal rhinorrhea,The cerebral vertebrae is leaking.,Nose leakage of cerebrospinal fluid,Brain necklace.,0.420004115,0.701225312,0.208431932
鼻臭,ozena,Your nose stinks.,Nasal odor,smell of nose.,0,0,0
鼻疖,nasal furuncle,Nostrils.,Nasal squirrel,The Nose,0.488009282,0.805079508,0.504468824
嗅觉减退,hyposmia,I've lost my sense of smell.,Reduced sense of smell,smell decreases.,-0.135612771,0.047717419,0.073949842
鼻腔内结痂,nasal cavity scab,The inside of the nasal cavity.,Intranasal cramps,inside the nose.,0.629400835,0.518707096,0.445626813
鼻腔黏膜干燥,nasal mucosa drying,The nasal mucous membrane is dry.,Nasal Mucosa Drying,The nose membrane is dry.,0.80848577,0.918492088,0.605081556
鼻腔黏膜粘连,adhesion of nasal mucosa,The nasal mucous membrane is sticky.,Nasal mucosal connectivity,The nasal membrane lies.,0.807112167,0.835313905,0.754209043
鼻腔黏膜萎缩,nasal mucosa atrophy,Nosal mucous membrane shrinks.,Nasal mucosa atrophy,The nasal membrane is crushed.,0.666214419,1.000000035,0.574008488
鼻腔黏膜肿胀,nasal mucosa myxedema,Swollen swollen nasal membrane.,Nasal mucous membrane swelling,Inflammation of the nasal membrane,0.736977831,0.860359676,0.748251151
鼻黏膜增生肥厚,nasal mucosa proliferative pachynsis,The nasal membrane grows fat.,Hypertrophic thickness of nasal mucosa,The nose membrane increases fat.,0.570855381,0.846624186,0.448631422
鼻甲息肉样变,conchal polypoid change,The snail looks different.,Nasal deformation,The nose changes.,0.602431342,0.231246651,0.677274603
鼻腔半透明样肿物,mycteric translucent tumor,It's a semi-transparent swollen swollen nasal cavity.,Semitransparent specimen of nasal cavity,Half transparent nasal tumor.,0.570385336,0.584259546,0.75170347
伊文征,Ewing sign,Ivan.,Irving,The Irvine,0.234165198,0.384567592,0.250053742
答外松征,Davidsohn sign,♪ Take it easy ♪ ♪ Take it easy ♪ ♪ Take it easy ♪,Respiratory stress syndrome,Reply out.,0.36678762,0.225446965,0.415075596
鼻窦区局部皮肤红肿,nasal sinuses local skin red tumefaction,Local swollen skin in the nasal area.,Local red swelling of the nasal sinus area,Local skin redness in the nasal area,0.845210909,0.883819029,0.861458432
嘎瑞路征,Garel sign,Garrett.,Garry Road Expedition,Gary’s Journey,0.159206107,0.193164686,0.316692645
鼻窦体位引流试验,postural drainage of nasal sinuses test,Nostril-level current test,Nasal sinus phytosanitary draw test,Proof of Nose Testing,0.608489613,0.857397026,0.614066833
弗兰克路试验,Frankel test,Frank Road experiment.,Frank Road test,The Frank Road Experiment.,0.286355214,0.47429474,0.269064018
赫因征,Heryng sign,Heinous.,Hein campaign,The Heineken,0.207216433,0.154394786,0.31211547
凯伦手术,killian operation,Karen's in surgery.,Surgery in Cairn,Karen’s surgery,0.190587045,0.14870807,0.227886132
下鼻甲萎缩,inferior nasal concha atrophy,The lower nasal atrophy.,Lower nose atrophy,The hidden slurry.,0.719594888,0.723898245,0.179955727
鼻中隔偏曲,deviation of nasal septum,Nostrils in the nose.,Nasal isolation polarization,separated in the nose.,0.554987801,0.714573609,0.493491571
鼻中隔弯曲,nasal septum winding,It's a bend in the nose.,Diaphragm in the nose,The nose is swallowed.,0.354074339,0.603282721,0.441635791
鼻中隔偏曲的分度,degrees of nasoseptal deviation,The fraction of the septum in the nose.,Degree of separation of deviation in nose,Difference in the nose.,0.612418634,0.847644429,0.561281367
鼻中隔糜烂,erosion of nasal septum,He's got a stunner in his nose.,Nasal fracture,Separate in the nose.,0.326515152,0.796469856,0.471172206
鼻中隔棘突或嵴突,spinous process of nasal septum,There's a thorn in the nose. There's a bump in the nose.,Separate tumours or tumours in the nose,In the nose or in the nose.,0.396979864,0.536660623,0.472013541
鼻中隔对称性隆起,symmetric projection of nasal septum,There's symmetry in the nose.,Diaphragmatic symmetry rise in the nose,"In the nose, the proportion.",0.503275026,0.670064194,0.449750362
鼻中隔穿孔,perforation of nasal septum,Punctures in the nose.,Aperture in the nose,A hole in the nose.,0.548017624,0.572413739,0.431238946
中鼻道拥挤狭窄,middle nasal meatus stricture,The middle nose is crowded and narrow.,The middle nose is narrow and crowded,The middle nose is narrow.,0.391218998,0.423492765,0.41923273
鼻腔异物,nasal foreign body,Nostrils.,Nose cavity heterogeneity,The hidden stranger.,0.509000116,0.598549608,0.453093958
干酪性鼻炎,caseous rhinitis,Cheese nostrils.,Cheese Nasal Inflammation,Cheese injection.,0.171233335,0.558610563,0.138516946
干酪臭鼻症,caseous ozena,Cheese stinky nose disease.,Cheese-borne nose disease,The cheese smell.,0,0,0
胆脂瘤性鼻炎,cholesteatoma rhinitis,Chrysotile nasal inflammation.,Cholesterolaemic rhinitis,Cholesterol Nose Inflammation,0.545651175,0.789511775,0.428568246
鼻息肉,nasal polyp,Snotlout.,Nasal sniff,The nose meat.,0.004127085,0.698898841,0.286768563
鼻测压法,rhinomanometry,Nostril pressure.,Nasal pressure measurement,The nose pressure method.,0,0,0
鼻腔乳头状肿瘤,papillomatosis of nasal cavity,Ness nipple tumours,Nasal Laryngeal Tumour,tumor of the nose.,0.461008605,0.71401221,0.683585269
鼻腔红色肿物,red tumor of nasal cavity,Red swollen swollen nose.,Nasal red swelling,The nose red tumor.,0.671670156,0.827898807,0.827198572
鼻源性头痛,rhinogenic headache,It's a nasal headache.,Nasal-borne headache,nasal headaches.,0.681963677,0.747861484,0.785634319
鼻腔菜花状肿物,cauliflower like mass of nasal cavity,"Sniffles, flowers and swollen.",Nasal cavity flower-like swelling,The Nose Flowers.,0.547249238,0.832344667,0.604279189
鼻腔鼻窦癌新型分级法,new type grading method of carcinoma of nasal covity and nasal sinuses,New stratification of nasal snail cancer,New classification method of nasal sinus carcinoma,New Type of Nose Cancer Classification,0.845547386,0.942627141,0.808169463
鼻腔鼻窦类肉瘤病的分级法,grading method of sarcoma of nasal cavity and nasal sinuses,The stratification of nasal snail carcinoma disease.,The classification method of nasal sinus sarcoma,Classification of nasal nasal tumors,0.818759293,0.92356104,0.900335982
直接鼻咽镜检查法,direct nasopharyngoscopy,Direct nasal mirrors.,Direct Nasopharyngeal Surgery,Direct nasal mirror check.,0.617811089,0.684160307,0.635819696
间接鼻咽镜检查法,indinect nasopharyngoscopy,Indirect nasal lenses.,Indirect nose-pharyngeal examination,The indirect screenshots.,0,0,0
上颌窦穿刺冲洗检查法,puncture and irrigation of maxillary sinus,We're going to have to do a punctuation check.,Inspection of maxillary sinuses by puncture and washing,Drawing the Drawing Check Act.,0.33892511,0.874221768,0.324950909
咽水吹张法,politzerization,♪ To swallow and blow ♪,Diarrheal blowing,Drinking water law.,0,0,0
捏鼻吹张法,valsalva maneuver manoeuvel,Sniffing and blowing.,Nasal blowing,Hurt the nose.,0.130994832,0.267633023,0.135951744
鼻窦透照试验,transillumination test,Nostril spectrometry test.,Nasal sinus permeation test,The nose test.,0.649702205,0.514745574,0.694589435
鼻窦变压替换疗法,"displacement therapy of the nasal sinuses,Rioetz displacement",Nostril replacement therapy.,Replacement therapy for sinus changes in pressure,Replacement therapy.,0.684685314,0.780831096,0.576275282
鼻窦置换疗法,displacement therapy of nasal sinuses,Nostril replacement therapy.,Nasal sinus replacement therapy,Nose replacement therapy.,0.717488816,0.86969278,0.665462563
额镜检查法,head mirror examination,The axle test.,Forensic examination,The mirror check.,0.597918259,0.583759286,0.744584371
前鼻镜检查法,anterior rhinoscopy,Presnose mirrors.,Prenasal examination,Examination of front glasses.,0.141179102,0.299450461,0.276947068
鼻后孔镜检查法,choanal rhinoscopy,Nostril-back mirrors.,Retroscopic examination of the nose,Examination of the nasal mirror.,0,0,0
硬管鼻内窥镜检查法,hardness tube rhinoscopy,I'm going to have a hard-nosed intra-snose viewer.,Endoscopic examination of the hard tube nose,Hard Tube Nose Spy Examination,0.295776466,0.579354536,0.579212524
软管鼻内窥镜检查法,soft tube rhinoscopy,Soft-nosal endoscope.,Endoscopy of the soft tube nose,Sweetened Nose Screenshots,0.678846114,0.814424799,0.434599869
鼻的呼吸功能检查法,rhinal respiration function examination,Respiratory function of the nose.,Respiratory Testing Methods for the Nasal System,Respiratory function of the nose.,0.685117031,0.687455479,0.685117031
鼻通气测量板检查法,rhinal ventilation examination,Nostril palette test.,Testing Method of Nasal Diaphragm Measurement Plate,Panel of Nose Air Testing,0.452510674,0.607493632,0.596677996
鼻阻力计检查法,rhinal resistance examination,The nasal resistance meter.,Nasal Resistorometer Inspection,Nose Resistance Testing,0.694972168,0.50499455,0.7627578
体位引流法,postural drainage,Altitude flow method,Bodily drainage,The body flow law.,0.458074495,0.748953223,0.328519328
华特位鼻窦X线检查法,Water position nasal sinuses X-ray examination,Walter's Nostril X-ray.,Ultrasonic X-ray examination of sinuses,The X-ray test method.,0.721475595,0.891880643,0.716251921
柯德威尔位X线检查法,Caldwell position X-ray examination,Cordwell X-ray.,Cordwell-level X-ray inspection,Cordwell’s X-ray Testing Method,0.783291824,0.816058986,0.748149983
嗅觉检查法,olfactometry,Sniff detection.,Odor test,The smell check.,0,0,0
嗅阈检查法,olfact examination,Sniff threshold check method,Odor threshold test,The smell check.,0.402403056,0.449247156,0.332917017
咽,pharynx,Swallow,Nausea,Hurting,0.275371875,0.293524843,0.103070989
含物语音,lallation,Intuitive voice,Content Voice,containing voice.,0,0,0
涎液增多,ptyalism,More salivate.,Increased saliva,increased fluid.,0,0,0
增殖体面容,adenoid face,♪ Grow up to be decent ♪,Reproductive tissue,Growth of face.,0.14995869,0.335868155,0.395835608
增殖体肥大征,adenoidal hypertrophy sign,It's a mass-breathing thing.,Procreative hypertrophy,Growth of body fat,0.155008109,0.652734481,0.277351308
咽部黏膜干燥,dryness of throat,The mucous membrane is dry.,Drying of pharyngeal mucosa,The throat membrane is dry.,0.70013978,0.636709582,0.751784622
咽部黏膜水肿,hydrops of throat,Throat membrane swollen.,Pleural mucosa edema,The throat of the water.,0.749529566,0.341020478,0.816434572
咽部黏膜疱疹,herpes of throat,A mucous herpe in the swallow.,Pharyngeal mucous membrane herpes,The throat clay.,0.758961746,0.692676531,0.648407083
咽部黏膜充血肿胀,congestion of throat,The mucous membrane is swollen and hemorrhaging.,Vascular swelling of the pharynx mucosa,The throat membrane is bloody.,0.705875652,0.642632949,0.707019121
腭扁桃体,palatine tonsil,Twisted tonsils,Palate tonsils,The body.,0.518931347,0.586227052,-0.037318922
扁桃体,tonsil,A tonsil.,Plague,the body.,0.645920953,0.212719935,0.02035557
扁桃体囊,capsule of tonsil,A tonsil bag.,Plague capsule,The body pocket.,0.628010841,0.683905751,0.411217912
扁桃体移位,tonsil displacement,A tonsil migration,Schizophrenal displacement,Migration of the body.,0.682950466,0.716200716,0.272791836
扁桃体结石,tonsillolith,A tonsil.,Pleistocene stones,The stone body.,0,0,0
扁桃体缩小,tonsil shrink,Minus Shrink,Tissue shrinkage,Reduce the body.,0.6116989,0.555547088,0.263408859
扁桃体缺如,tonsil deletion,The tonsils are as short as they are.,Lack of flattening,Lack of body.,0.212701071,0.262049709,0.153276034
扁桃体增大,hypertrophy of tonsil,An increase in the number of tonsils,Enlargement of the tonsils,The amygdala increases.,0.499528321,0.725476771,0.420423255
